subscriber_email,emails_sent_30d,emails_opened,emails_clicked,unsubscribed,list_segment,signup_source,days_subscribed
linda.wilson73@fastmail.com,12,6,2,false,regular,organic,413
steven.thompson60@outlook.com,9,2,1,false,regular,paid,242
mary.jackson78@outlook.com,9,0,0,false,inactive,paid,410
lisa.smith99@outlook.com,14,1,0,false,at_risk,paid,313
steven.moore32@gmail.com,10,5,5,false,engaged,paid,242
susan.miller69@fastmail.com,12,0,0,false,inactive,paid,254
george.flores30@fastmail.com,3,3,3,false,new,paid,51
robert.harris12@outlook.com,9,1,0,false,at_risk,paid,294
steven.walker38@gmail.com,9,0,0,false,inactive,organic,413
james.flores1@company.co,10,6,0,false,regular,paid,448
jessica.lewis71@company.co,9,6,2,false,regular,paid,510
william.garcia67@fastmail.com,10,9,8,false,vip,organic,788
betty.sanchez94@fastmail.com,8,5,1,false,new,social,2
steven.young47@outlook.com,9,0,0,false,inactive,organic,416
deborah.harris80@proton.me,10,8,3,false,engaged,referral,232
betty.rodriguez83@outlook.com,11,4,2,false,engaged,referral,339
kenneth.white53@gmail.com,14,10,4,false,vip,organic,1046
richard.sanchez35@company.co,10,0,0,false,inactive,paid,776
linda.johnson15@outlook.com,11,1,0,false,at_risk,organic,266
lisa.miller69@gmail.com,12,6,3,false,vip,referral,644
christopher.jones89@gmail.com,10,0,0,false,at_risk,paid,558
margaret.hernandez51@company.co,11,3,1,false,regular,organic,562
barbara.williams96@proton.me,10,6,3,false,regular,organic,418
donna.taylor67@company.co,9,6,2,false,engaged,referral,425
james.wilson12@company.co,14,2,0,false,at_risk,paid,382
emily.brown53@outlook.com,12,6,2,false,engaged,referral,104
john.johnson23@outlook.com,10,2,1,false,regular,paid,620
lisa.scott1@proton.me,8,5,1,false,new,social,57
susan.davis34@gmail.com,3,3,2,false,new,organic,38
william.miller10@company.co,7,4,2,false,new,organic,2
paul.lewis59@gmail.com,15,11,7,false,vip,referral,515
steven.garcia65@outlook.com,15,9,7,false,vip,referral,616
george.wright93@outlook.com,7,5,3,false,new,social,15
john.scott93@proton.me,8,0,0,false,at_risk,organic,177
matthew.robinson30@proton.me,12,1,0,true,at_risk,organic,461
dorothy.scott30@outlook.com,15,10,7,false,vip,referral,518
christopher.harris56@outlook.com,10,8,6,false,vip,referral,880
paul.lopez40@fastmail.com,11,2,3,false,regular,organic,294
elizabeth.miller32@proton.me,9,7,4,false,vip,organic,1179
kimberly.wilson9@proton.me,10,1,0,false,at_risk,organic,450
andrew.moore86@gmail.com,10,0,0,false,inactive,organic,671
margaret.garcia53@fastmail.com,8,0,0,false,at_risk,paid,413
jennifer.scott84@gmail.com,11,8,3,false,vip,organic,909
mary.moore67@fastmail.com,12,3,1,false,regular,paid,573
brian.torres84@fastmail.com,10,0,0,false,at_risk,paid,233
melissa.lewis31@fastmail.com,8,7,5,false,engaged,paid,239
timothy.thomas69@company.co,15,7,4,false,vip,referral,1135
andrew.scott21@outlook.com,9,6,3,false,engaged,organic,200
ashley.harris37@fastmail.com,9,6,2,false,regular,organic,376
betty.miller96@fastmail.com,9,5,2,false,regular,organic,188
brian.moore16@fastmail.com,11,6,4,false,engaged,referral,206
paul.ramirez40@gmail.com,8,6,3,false,regular,organic,557
betty.young79@proton.me,8,6,5,false,vip,referral,1005
deborah.gonzalez47@outlook.com,15,1,0,true,at_risk,paid,106
brian.davis40@proton.me,9,5,1,false,regular,organic,253
christopher.nguyen61@fastmail.com,4,3,1,false,new,organic,30
donald.nguyen76@proton.me,10,4,5,false,engaged,organic,249
patricia.perez7@company.co,13,0,0,true,at_risk,paid,152
dorothy.ramirez80@outlook.com,11,2,0,false,regular,organic,412
paul.clark8@proton.me,10,0,0,false,at_risk,paid,466
lisa.ramirez85@outlook.com,6,2,3,false,new,organic,8
dorothy.lewis42@fastmail.com,8,0,0,false,inactive,organic,234
andrew.jackson57@proton.me,9,1,0,false,at_risk,organic,110
lisa.scott96@gmail.com,10,10,6,false,vip,referral,882
barbara.brown52@company.co,12,0,0,true,at_risk,organic,325
joseph.lewis69@fastmail.com,12,2,0,false,regular,paid,640
steven.jackson73@gmail.com,12,2,0,true,at_risk,paid,374
matthew.brown29@fastmail.com,8,7,4,false,engaged,paid,236
william.white33@outlook.com,9,2,1,false,regular,organic,688
steven.ramirez75@company.co,10,7,2,false,engaged,referral,269
charles.jones93@company.co,10,2,0,false,regular,organic,660
christopher.johnson2@gmail.com,5,3,1,false,new,social,31
robert.lee25@outlook.com,12,4,3,false,engaged,referral,177
steven.lewis17@proton.me,9,4,4,false,engaged,paid,102
sandra.perez89@proton.me,10,12,6,false,vip,referral,461
donna.martinez87@fastmail.com,11,7,3,false,engaged,organic,405
david.scott68@proton.me,6,5,1,false,new,paid,21
david.walker66@proton.me,5,2,3,false,new,organic,32
ashley.williams85@gmail.com,8,3,1,false,regular,paid,569
andrew.rodriguez40@outlook.com,5,3,1,false,new,social,14
melissa.thompson66@fastmail.com,11,6,0,false,regular,organic,679
linda.taylor11@outlook.com,8,5,2,false,engaged,organic,183
james.ramirez72@gmail.com,8,1,0,true,at_risk,paid,538
mark.johnson79@outlook.com,15,1,0,false,at_risk,organic,497
mark.brown50@company.co,6,4,2,false,new,social,15
robert.hill25@proton.me,9,5,4,false,engaged,paid,101
ashley.ramirez93@company.co,8,8,2,false,engaged,referral,340
jessica.smith58@fastmail.com,12,0,0,false,inactive,paid,372
steven.jones66@outlook.com,8,2,1,false,regular,paid,553
charles.davis33@gmail.com,14,0,0,true,at_risk,organic,157
christopher.miller28@outlook.com,12,4,2,false,regular,organic,193
kevin.ramirez28@company.co,12,0,0,false,inactive,organic,720
kenneth.scott46@proton.me,6,5,3,false,new,social,47
joseph.williams1@outlook.com,11,0,0,false,inactive,paid,720
susan.white76@proton.me,13,8,8,false,vip,referral,803
ashley.gonzalez64@outlook.com,9,0,0,false,inactive,organic,671
sandra.taylor32@outlook.com,15,0,0,true,at_risk,paid,298
brian.gonzalez14@fastmail.com,12,0,0,false,inactive,paid,464
kenneth.rodriguez63@outlook.com,8,6,1,false,regular,organic,537
joshua.allen54@company.co,12,0,0,false,inactive,paid,288
sarah.lopez16@company.co,8,4,1,false,regular,organic,332
kenneth.torres58@outlook.com,10,6,2,false,engaged,paid,352
dorothy.moore37@company.co,14,2,0,true,at_risk,paid,151
jennifer.walker43@outlook.com,11,0,0,false,inactive,paid,627
carol.davis20@gmail.com,14,1,0,false,at_risk,organic,230
david.martin80@fastmail.com,10,4,5,false,engaged,organic,177
susan.flores69@fastmail.com,10,8,5,false,engaged,paid,95
joseph.williams43@gmail.com,7,4,1,false,new,paid,17
karen.davis9@gmail.com,11,6,4,false,vip,organic,540
james.anderson37@fastmail.com,8,2,0,false,at_risk,organic,524
elizabeth.nguyen58@outlook.com,3,3,2,false,new,organic,14
ashley.flores39@fastmail.com,6,4,3,false,new,paid,8
ashley.smith38@gmail.com,8,6,2,false,regular,organic,555
betty.lee32@gmail.com,10,6,4,false,vip,organic,663
kenneth.allen42@fastmail.com,10,3,1,false,regular,organic,218
michael.walker75@gmail.com,9,6,4,false,engaged,referral,414
betty.walker29@gmail.com,8,7,4,false,vip,organic,581
karen.sanchez76@company.co,15,8,5,false,vip,organic,915
amanda.moore56@outlook.com,11,2,0,false,regular,paid,197
carol.flores8@fastmail.com,8,7,4,false,engaged,paid,322
brian.johnson88@outlook.com,9,3,0,false,regular,paid,512
andrew.garcia75@outlook.com,12,0,0,false,inactive,paid,502
emily.lee7@proton.me,9,0,0,false,inactive,organic,594
george.harris34@gmail.com,6,3,2,false,new,organic,4
deborah.clark70@gmail.com,8,4,3,false,regular,organic,503
kimberly.rodriguez51@outlook.com,3,2,3,false,new,organic,3
jennifer.jones35@proton.me,3,3,2,false,new,organic,55
michael.thompson78@proton.me,11,6,5,false,engaged,organic,365
emily.clark5@fastmail.com,11,4,2,false,regular,organic,350
paul.martinez3@fastmail.com,4,3,1,false,new,paid,24
linda.young9@proton.me,12,9,4,false,vip,referral,829
linda.davis78@fastmail.com,10,5,3,false,regular,organic,186
margaret.jackson6@fastmail.com,12,6,6,false,vip,referral,1061
melissa.sanchez48@gmail.com,9,0,0,false,inactive,paid,500
thomas.thomas29@outlook.com,9,4,3,false,engaged,organic,160
jessica.wright59@gmail.com,9,0,0,false,inactive,paid,627
emily.williams51@proton.me,7,4,3,false,new,social,58
paul.ramirez14@outlook.com,12,2,0,true,at_risk,organic,592
linda.walker46@fastmail.com,11,2,0,true,at_risk,paid,323
