user_email,logins_7d,logins_30d,features_used,api_calls_30d,last_login_days,session_avg_min,pages_viewed_30d
linda.wilson73@fastmail.com,8,46,5,2212,1,16,284
steven.thompson60@outlook.com,6,17,3,4671,1,11,85
mary.jackson78@outlook.com,0,2,1,43,99,0,4
lisa.smith99@outlook.com,0,6,2,20,24,5,15
steven.moore32@gmail.com,12,53,6,9386,1,14,1308
susan.miller69@fastmail.com,0,2,1,8,172,1,18
george.flores30@fastmail.com,11,24,2,1783,3,7,50
robert.harris12@outlook.com,2,1,1,66,46,3,12
steven.walker38@gmail.com,0,0,1,42,154,2,12
james.flores1@company.co,3,27,2,4687,0,11,342
jessica.lewis71@company.co,8,14,4,2320,5,5,166
william.garcia67@fastmail.com,37,75,12,29326,1,29,1121
betty.sanchez94@fastmail.com,4,14,2,1711,2,11,258
steven.young47@outlook.com,0,3,1,42,42,2,9
deborah.harris80@proton.me,21,63,10,4984,2,22,1082
betty.rodriguez83@outlook.com,13,39,4,14005,2,15,910
kenneth.white53@gmail.com,35,133,8,43732,2,30,2771
richard.sanchez35@company.co,0,0,1,1,123,0,11
linda.johnson15@outlook.com,0,4,1,186,37,3,39
lisa.miller69@gmail.com,25,141,15,43487,1,33,1648
christopher.jones89@gmail.com,2,8,3,107,49,1,2
margaret.hernandez51@company.co,12,14,4,2470,4,20,498
barbara.williams96@proton.me,9,31,3,598,7,15,441
donna.taylor67@company.co,15,96,9,8394,2,20,960
james.wilson12@company.co,1,8,1,41,90,1,9
emily.brown53@outlook.com,13,55,9,6464,3,17,249
john.johnson23@outlook.com,8,50,3,2489,5,20,110
lisa.scott1@proton.me,5,22,5,770,4,8,261
susan.davis34@gmail.com,3,11,3,1092,3,6,187
william.miller10@company.co,6,31,3,2276,0,14,179
paul.lewis59@gmail.com,32,141,10,32617,1,17,932
steven.garcia65@outlook.com,31,172,11,39537,1,21,1726
george.wright93@outlook.com,9,17,5,577,0,7,121
john.scott93@proton.me,2,2,2,155,19,1,7
matthew.robinson30@proton.me,1,2,1,114,31,1,36
dorothy.scott30@outlook.com,27,87,12,18038,1,45,1962
christopher.harris56@outlook.com,40,139,12,36037,1,32,2321
paul.lopez40@fastmail.com,8,30,5,2630,1,8,153
elizabeth.miller32@proton.me,39,178,11,23404,2,38,1767
kimberly.wilson9@proton.me,0,7,1,119,48,1,9
andrew.moore86@gmail.com,0,3,1,17,52,1,4
margaret.garcia53@fastmail.com,2,7,3,30,20,5,34
jennifer.scott84@gmail.com,27,108,13,10972,0,39,2586
mary.moore67@fastmail.com,5,40,2,2280,6,8,183
brian.torres84@fastmail.com,2,8,2,173,69,3,19
melissa.lewis31@fastmail.com,17,92,7,6160,0,25,477
timothy.thomas69@company.co,21,77,15,21309,2,17,781
andrew.scott21@outlook.com,13,89,7,2122,2,12,667
ashley.harris37@fastmail.com,9,47,6,1705,1,16,356
betty.miller96@fastmail.com,10,37,6,4725,6,16,96
brian.moore16@fastmail.com,11,74,9,13067,0,24,1012
paul.ramirez40@gmail.com,8,13,5,3941,3,13,397
betty.young79@proton.me,30,63,8,31612,2,25,2127
deborah.gonzalez47@outlook.com,1,0,3,74,86,1,31
brian.davis40@proton.me,9,16,3,1622,1,16,435
christopher.nguyen61@fastmail.com,15,23,5,1078,5,12,67
donald.nguyen76@proton.me,15,59,8,11902,0,28,409
patricia.perez7@company.co,2,0,1,131,32,3,45
dorothy.ramirez80@outlook.com,5,44,3,1274,3,9,103
paul.clark8@proton.me,2,1,2,7,31,1,13
lisa.ramirez85@outlook.com,6,21,3,285,4,10,99
dorothy.lewis42@fastmail.com,0,0,1,17,31,2,12
andrew.jackson57@proton.me,2,8,1,64,24,4,3
lisa.scott96@gmail.com,19,69,10,26447,1,26,634
barbara.brown52@company.co,0,1,2,143,79,1,27
joseph.lewis69@fastmail.com,6,12,5,3881,6,15,441
steven.jackson73@gmail.com,1,2,1,41,28,4,47
matthew.brown29@fastmail.com,19,91,10,9587,0,19,1493
william.white33@outlook.com,6,47,3,4785,1,17,473
steven.ramirez75@company.co,22,76,8,7892,0,13,1157
charles.jones93@company.co,10,41,4,2525,4,15,451
christopher.johnson2@gmail.com,4,29,3,2172,5,9,55
robert.lee25@outlook.com,17,30,9,2067,2,21,458
steven.lewis17@proton.me,14,69,7,14794,2,26,848
sandra.perez89@proton.me,38,174,14,23522,0,40,2363
donna.martinez87@fastmail.com,11,93,7,9569,3,22,784
david.scott68@proton.me,4,15,2,1478,1,15,246
david.walker66@proton.me,3,35,5,1549,3,13,237
ashley.williams85@gmail.com,4,24,6,829,6,8,66
andrew.rodriguez40@outlook.com,14,23,4,1903,3,6,95
melissa.thompson66@fastmail.com,10,25,2,3879,0,12,89
linda.taylor11@outlook.com,23,76,8,6746,3,15,1243
james.ramirez72@gmail.com,1,8,3,144,21,1,36
mark.johnson79@outlook.com,0,0,2,124,65,1,26
mark.brown50@company.co,6,40,3,292,4,11,136
robert.hill25@proton.me,15,90,5,12801,0,27,1275
ashley.ramirez93@company.co,20,61,6,13894,1,25,655
jessica.smith58@fastmail.com,0,2,1,46,49,2,7
steven.jones66@outlook.com,3,19,4,3166,7,10,331
charles.davis33@gmail.com,0,4,3,46,88,4,32
christopher.miller28@outlook.com,6,37,3,2443,3,12,332
kevin.ramirez28@company.co,0,0,1,44,100,2,3
kenneth.scott46@proton.me,8,36,2,888,5,5,151
joseph.williams1@outlook.com,0,0,1,45,101,0,2
susan.white76@proton.me,36,139,12,18526,0,33,1769
ashley.gonzalez64@outlook.com,0,0,1,3,135,2,10
sandra.taylor32@outlook.com,1,0,3,90,34,4,11
brian.gonzalez14@fastmail.com,0,0,1,3,101,1,16
kenneth.rodriguez63@outlook.com,10,13,6,2541,2,11,424
joshua.allen54@company.co,0,0,1,15,137,0,10
sarah.lopez16@company.co,4,35,6,3484,6,10,169
kenneth.torres58@outlook.com,20,87,7,6027,1,28,561
dorothy.moore37@company.co,1,0,2,65,77,2,5
jennifer.walker43@outlook.com,0,3,1,2,60,2,1
carol.davis20@gmail.com,2,2,3,98,66,1,25
david.martin80@fastmail.com,23,38,6,1832,3,16,847
susan.flores69@fastmail.com,14,63,5,1832,1,15,1060
joseph.williams43@gmail.com,8,20,3,2212,1,14,66
karen.davis9@gmail.com,39,99,14,13646,2,18,2041
james.anderson37@fastmail.com,1,4,3,44,68,5,22
elizabeth.nguyen58@outlook.com,4,34,4,1493,4,14,198
ashley.flores39@fastmail.com,4,26,2,176,3,10,140
