id,email,name,plan,mrr,products,payment_failures_90d,delinquent
cus_jj7e5753it,linda.wilson73@fastmail.com,"Mesa Inc",starter,152,3,1,false
cus_vlbmf3kk80s,steven.thompson60@outlook.com,"Nova HQ",starter,197,2,0,false
cus_w59s77ib8en,mary.jackson78@outlook.com,"Kite Labs",starter,68,1,1,false
cus_5czb6neyzq5,lisa.smith99@outlook.com,"Wave Labs",starter,84,1,5,true
cus_83bv0abzr0m,steven.moore32@gmail.com,"Iron Co",business,947,2,0,false
cus_886tncwo4y8,susan.miller69@fastmail.com,"Acme Co",starter,80,1,1,true
cus_b9sklgsuynm,george.flores30@fastmail.com,"Nova Systems",starter,184,1,0,false
cus_07lalpc8la8s,robert.harris12@outlook.com,"Yoke Group",starter,85,1,5,true
cus_0dvyeknlau5,steven.walker38@gmail.com,"Grid Corp",starter,69,1,0,true
cus_8n541etwn1k,james.flores1@company.co,"Tide Digital",starter,145,3,0,false
cus_7g4t2iyj3b,jessica.lewis71@company.co,"Sage Labs",pro,378,3,1,false
cus_sbzavmy3d2,william.garcia67@fastmail.com,"Iron Corp",enterprise,7672,7,0,false
cus_jf3x88i8sr,betty.sanchez94@fastmail.com,"Xero HQ",pro,180,1,0,false
cus_phvw949ibyr,steven.young47@outlook.com,"Opal Group",starter,32,1,0,true
cus_r0fx8v5z3xg,deborah.harris80@proton.me,"Edge Co",business,658,4,0,false
cus_flt4c0eha5b,betty.rodriguez83@outlook.com,"Volt Systems",business,532,2,0,false
cus_2gsgh6w2f44,kenneth.white53@gmail.com,"Peak Systems",enterprise,4574,5,0,false
cus_pqejvsrq1ud,richard.sanchez35@company.co,"Xero Corp",starter,31,1,2,false
cus_qytjps5t33d,linda.johnson15@outlook.com,"Yoke Digital",pro,96,1,2,false
cus_0o7a3mo7z6lk,lisa.miller69@gmail.com,"Halo Labs",enterprise,4168,7,0,false
cus_em8nllq71e,christopher.jones89@gmail.com,"Volt Corp",starter,149,1,5,true
cus_5cs5zdivxbt,margaret.hernandez51@company.co,"Opal Digital",starter,314,2,0,false
cus_rx7ypbwmac,barbara.williams96@proton.me,"Zinc AI",starter,421,3,1,false
cus_wacrjvmqqh,donna.taylor67@company.co,"Nova Co",business,1362,4,0,false
cus_0qjoo64v131,james.wilson12@company.co,"Edge Co",pro,92,1,3,true
cus_gaqerduiz3h,emily.brown53@outlook.com,"Grid Tech",pro,352,3,0,false
cus_8rq41ft1mh5,john.johnson23@outlook.com,"Jade Systems",starter,385,1,0,false
cus_szz04lq7nq,lisa.scott1@proton.me,"Flux Co",starter,243,1,0,false
cus_9zrlztbc81l,susan.davis34@gmail.com,"Yoke HQ",starter,208,1,0,false
cus_68ilj8ldzx4,william.miller10@company.co,"Halo AI",pro,191,1,0,false
cus_ncnxk56qu49,paul.lewis59@gmail.com,"Xero HQ",enterprise,7318,7,0,false
cus_85weemdpzxx,steven.garcia65@outlook.com,"Drift Tech",enterprise,4940,4,0,false
cus_dpdbf349sqr,george.wright93@outlook.com,"Flux Digital",pro,114,1,0,false
cus_fdn1gcz0eq4,john.scott93@proton.me,"Tide Corp",starter,75,1,1,true
cus_6nty22rjfoo,matthew.robinson30@proton.me,"Halo Labs",pro,200,1,3,true
cus_li6phq1l8n,dorothy.scott30@outlook.com,"Wave Labs",enterprise,3743,7,0,false
cus_dea3q8fylgb,christopher.harris56@outlook.com,"Halo HQ",enterprise,3680,6,0,false
cus_xuqvcoibfo9,paul.lopez40@fastmail.com,"Edge Digital",starter,499,2,0,false
cus_iahc5vdx1kh,elizabeth.miller32@proton.me,"Rift Corp",enterprise,2539,7,0,false
cus_ce0kw1z6dil,kimberly.wilson9@proton.me,"Mesa Digital",pro,117,1,3,true
cus_neyyt2htk3i,andrew.moore86@gmail.com,"Mesa Co",starter,68,1,2,false
cus_ors9hyuslmb,margaret.garcia53@fastmail.com,"Rift Inc",starter,76,1,4,true
cus_zjg4sezhooc,jennifer.scott84@gmail.com,"Grid Corp",enterprise,3990,4,0,false
cus_8tz22jtp51,mary.moore67@fastmail.com,"Peak Systems",starter,494,3,0,false
cus_0pffa9kchzu,brian.torres84@fastmail.com,"Halo Group",starter,47,1,5,true
cus_1hjw1hy1smo,melissa.lewis31@fastmail.com,"Edge AI",pro,303,2,0,false
cus_dmsth0s7a0a,timothy.thomas69@company.co,"Iron HQ",enterprise,5015,7,0,false
cus_ho3j1fabz1,andrew.scott21@outlook.com,"Unit Group",pro,402,3,0,false
cus_izf7e2s9lls,ashley.harris37@fastmail.com,"Sage Labs",starter,192,2,0,false
cus_tngrb8dty4k,betty.miller96@fastmail.com,"Sage Co",starter,478,2,0,false
cus_vvx0bjjif1r,brian.moore16@fastmail.com,"Crest AI",business,845,2,0,false
cus_nxdq807a6tg,paul.ramirez40@gmail.com,"Rift Inc",pro,161,1,0,false
cus_1aaskk35k0u,betty.young79@proton.me,"Sage HQ",enterprise,5379,4,0,false
cus_kxddun3103j,deborah.gonzalez47@outlook.com,"Kite Labs",starter,129,1,5,true
cus_wx7k9euvcno,brian.davis40@proton.me,"Mesa Systems",pro,344,2,1,false
