requester_email,tickets_30d,tickets_90d,avg_resolution_hrs,escalations,csat_score,nps_score,last_ticket_days
linda.wilson73@fastmail.com,0,1,7,0,79,8,49
steven.thompson60@outlook.com,2,7,19,0,73,8,17
mary.jackson78@outlook.com,0,2,,0,,,351
lisa.smith99@outlook.com,10,13,35,4,19,3,6
steven.moore32@gmail.com,1,7,9,1,83,9,32
susan.miller69@fastmail.com,0,1,,0,,2,119
george.flores30@fastmail.com,4,1,8,0,73,6,19
robert.harris12@outlook.com,12,28,62,2,20,2,4
steven.walker38@gmail.com,0,2,,0,,,75
james.flores1@company.co,3,2,20,0,63,7,19
jessica.lewis71@company.co,0,1,14,0,73,6,54
william.garcia67@fastmail.com,2,5,1,0,98,8,110
betty.sanchez94@fastmail.com,4,5,14,0,65,,3
steven.young47@outlook.com,0,1,,0,,,178
deborah.harris80@proton.me,2,8,6,0,77,8,19
betty.rodriguez83@outlook.com,4,6,16,1,75,9,22
kenneth.white53@gmail.com,1,3,5,0,94,10,95
richard.sanchez35@company.co,0,2,,0,,,62
linda.johnson15@outlook.com,6,31,62,1,34,0,12
lisa.miller69@gmail.com,0,1,2,0,88,10,119
christopher.jones89@gmail.com,3,15,37,1,42,0,10
margaret.hernandez51@company.co,3,8,14,0,68,6,55
barbara.williams96@proton.me,2,3,9,0,73,7,55
donna.taylor67@company.co,3,5,16,1,87,9,25
james.wilson12@company.co,6,32,64,3,45,0,6
emily.brown53@outlook.com,1,9,5,0,87,9,43
john.johnson23@outlook.com,1,2,15,0,79,8,16
lisa.scott1@proton.me,1,6,20,0,79,,9
susan.davis34@gmail.com,4,1,19,0,81,8,17
william.miller10@company.co,5,6,13,0,90,,6
paul.lewis59@gmail.com,2,4,3,0,96,9,108
steven.garcia65@outlook.com,2,5,4,0,89,9,118
george.wright93@outlook.com,5,1,8,0,71,8,7
john.scott93@proton.me,15,31,49,2,33,2,3
matthew.robinson30@proton.me,5,33,66,5,30,2,13
dorothy.scott30@outlook.com,1,0,1,0,93,8,80
christopher.harris56@outlook.com,0,0,6,0,92,10,105
paul.lopez40@fastmail.com,2,8,15,0,80,7,52
elizabeth.miller32@proton.me,2,1,3,0,93,10,42
kimberly.wilson9@proton.me,5,33,63,5,24,0,8
andrew.moore86@gmail.com,0,2,,0,,,216
margaret.garcia53@fastmail.com,7,18,13,2,44,1,2
jennifer.scott84@gmail.com,2,5,4,0,94,8,105
mary.moore67@fastmail.com,3,4,10,0,80,6,59
brian.torres84@fastmail.com,12,20,62,2,34,1,0
melissa.lewis31@fastmail.com,4,2,11,0,83,8,29
timothy.thomas69@company.co,0,0,7,0,96,9,51
andrew.scott21@outlook.com,1,5,7,1,71,8,8
ashley.harris37@fastmail.com,3,5,22,0,61,5,23
betty.miller96@fastmail.com,1,7,18,0,66,7,46
brian.moore16@fastmail.com,2,7,14,0,72,8,10
paul.ramirez40@gmail.com,3,7,23,0,79,6,46
betty.young79@proton.me,1,2,5,0,86,9,92
deborah.gonzalez47@outlook.com,9,10,45,3,33,3,7
brian.davis40@proton.me,1,3,10,0,79,7,43
christopher.nguyen61@fastmail.com,2,2,11,0,82,,10
donald.nguyen76@proton.me,2,10,6,1,73,8,24
patricia.perez7@company.co,9,14,23,2,31,0,9
dorothy.ramirez80@outlook.com,3,1,4,0,70,7,26
paul.clark8@proton.me,12,18,64,4,26,2,5
lisa.ramirez85@outlook.com,3,8,20,0,85,6,2
dorothy.lewis42@fastmail.com,0,1,,0,,,198
andrew.jackson57@proton.me,11,19,68,2,27,1,9
lisa.scott96@gmail.com,1,2,1,0,87,9,47
barbara.brown52@company.co,9,29,32,4,29,1,12
joseph.lewis69@fastmail.com,0,3,23,0,78,5,17
steven.jackson73@gmail.com,13,16,56,3,44,2,0
matthew.brown29@fastmail.com,2,5,5,1,88,9,43
william.white33@outlook.com,2,7,23,0,78,5,57
steven.ramirez75@company.co,4,7,11,0,77,7,10
charles.jones93@company.co,3,8,23,0,74,5,47
christopher.johnson2@gmail.com,2,3,7,0,67,8,17
robert.lee25@outlook.com,3,7,13,1,71,9,20
steven.lewis17@proton.me,1,8,9,1,80,7,11
sandra.perez89@proton.me,2,2,4,0,92,8,112
donna.martinez87@fastmail.com,4,5,8,1,72,8,41
david.scott68@proton.me,3,5,18,0,70,6,3
david.walker66@proton.me,4,1,14,0,73,,20
ashley.williams85@gmail.com,1,8,7,0,81,7,15
andrew.rodriguez40@outlook.com,2,6,18,0,78,,7
melissa.thompson66@fastmail.com,1,6,24,0,80,6,16
linda.taylor11@outlook.com,1,2,7,1,81,7,26
james.ramirez72@gmail.com,12,17,67,2,17,2,8
mark.johnson79@outlook.com,15,18,58,1,27,1,8
mark.brown50@company.co,5,1,15,0,65,6,17
robert.hill25@proton.me,1,6,10,0,71,8,32
ashley.ramirez93@company.co,2,5,15,1,86,9,23
jessica.smith58@fastmail.com,0,0,,0,,,316
steven.jones66@outlook.com,0,6,7,0,72,6,52
charles.davis33@gmail.com,10,32,63,5,39,1,12
christopher.miller28@outlook.com,1,4,15,0,76,8,48
kevin.ramirez28@company.co,0,1,,0,,,231
kenneth.scott46@proton.me,4,2,15,0,89,,18
joseph.williams1@outlook.com,0,2,,0,,,340
susan.white76@proton.me,2,3,8,0,88,8,85
ashley.gonzalez64@outlook.com,0,0,,0,,,339
sandra.taylor32@outlook.com,13,27,60,1,30,1,11
brian.gonzalez14@fastmail.com,0,1,,0,,3,342
kenneth.rodriguez63@outlook.com,3,1,22,0,61,6,22
joshua.allen54@company.co,0,1,,0,,3,300
sarah.lopez16@company.co,2,7,8,0,64,8,20
kenneth.torres58@outlook.com,1,9,5,0,70,8,13
dorothy.moore37@company.co,7,35,64,4,41,3,8
jennifer.walker43@outlook.com,0,0,,0,,,257
carol.davis20@gmail.com,4,21,27,3,17,3,2
david.martin80@fastmail.com,1,9,5,1,76,7,38
susan.flores69@fastmail.com,4,9,15,0,89,9,31
joseph.williams43@gmail.com,5,3,8,0,74,6,7
karen.davis9@gmail.com,1,2,2,0,87,8,50
james.anderson37@fastmail.com,12,36,18,1,42,3,4
elizabeth.nguyen58@outlook.com,2,6,11,0,68,,9
ashley.flores39@fastmail.com,1,8,15,0,71,,10
ashley.smith38@gmail.com,1,4,6,0,69,7,59
betty.lee32@gmail.com,2,2,3,0,89,10,104
kenneth.allen42@fastmail.com,2,8,17,0,84,7,32
michael.walker75@gmail.com,3,2,6,0,71,7,16
betty.walker29@gmail.com,1,2,6,0,90,10,47
karen.sanchez76@company.co,2,4,4,0,93,8,31
amanda.moore56@outlook.com,0,2,10,0,81,5,37
carol.flores8@fastmail.com,4,5,8,0,79,9,26
brian.johnson88@outlook.com,3,1,22,0,60,8,37
andrew.garcia75@outlook.com,0,2,,0,,,80
emily.lee7@proton.me,0,1,,0,,,347
george.harris34@gmail.com,5,2,19,0,83,7,3
deborah.clark70@gmail.com,2,7,9,0,63,6,33
kimberly.rodriguez51@outlook.com,4,5,18,0,77,7,7
jennifer.jones35@proton.me,2,3,9,0,86,7,0
michael.thompson78@proton.me,1,5,14,0,77,8,21
emily.clark5@fastmail.com,3,8,20,0,79,6,50
paul.martinez3@fastmail.com,2,6,13,0,70,6,7
linda.young9@proton.me,0,0,4,0,85,10,96
linda.davis78@fastmail.com,0,6,13,0,82,7,28
margaret.jackson6@fastmail.com,0,2,1,0,97,9,76
melissa.sanchez48@gmail.com,0,0,,0,,,268
thomas.thomas29@outlook.com,1,8,6,1,74,7,16
jessica.wright59@gmail.com,0,0,,0,,,99
emily.williams51@proton.me,3,2,15,0,70,8,10
paul.ramirez14@outlook.com,14,32,72,1,39,2,2
linda.walker46@fastmail.com,12,28,59,2,32,2,4
margaret.garcia33@fastmail.com,1,0,6,0,95,10,82
lisa.wright13@outlook.com,5,2,11,0,68,8,10
andrew.young12@fastmail.com,4,4,14,1,70,8,37
george.johnson96@proton.me,2,5,5,0,79,9,26
margaret.hernandez58@proton.me,0,0,,0,,4,192
elizabeth.gonzalez70@company.co,1,3,17,0,85,6,14
mark.thomas44@gmail.com,2,5,16,0,76,8,18
robert.jackson86@proton.me,4,7,9,1,89,8,10
william.williams4@proton.me,0,1,,0,,5,364
charles.lopez12@company.co,2,7,16,0,75,7,43
george.hernandez25@fastmail.com,1,5,6,1,82,9,18
mary.moore38@gmail.com,2,8,8,0,61,6,53
margaret.taylor38@company.co,2,3,2,0,87,9,90
karen.hill35@gmail.com,1,3,16,0,89,7,31
amanda.martin54@gmail.com,1,6,14,0,68,6,19
christopher.garcia13@proton.me,1,7,6,0,80,,14
matthew.davis74@proton.me,0,0,,0,,,120
paul.hill11@company.co,1,10,13,0,81,7,33
anthony.sanchez10@gmail.com,14,19,60,3,29,1,2
george.thomas92@outlook.com,0,2,,0,,,69
william.rodriguez14@outlook.com,3,27,49,3,38,0,3
sarah.perez33@outlook.com,3,4,16,0,84,8,31
george.martin47@outlook.com,2,4,2,0,94,9,40
margaret.gonzalez7@gmail.com,0,2,,0,,2,190
steven.nguyen30@company.co,1,1,10,0,71,,6
jessica.lewis56@outlook.com,0,0,,0,,5,230
michael.lopez5@proton.me,0,0,,0,,3,192
mark.sanchez2@fastmail.com,0,2,,0,,,365
joshua.torres60@fastmail.com,0,6,22,0,68,8,53
linda.white49@gmail.com,8,17,68,4,44,0,3
joseph.thompson83@proton.me,0,6,22,0,68,5,40
kevin.robinson83@gmail.com,1,4,7,0,90,8,57
karen.clark38@proton.me,3,5,5,0,67,5,21
amanda.davis65@proton.me,2,9,13,0,77,9,17
jennifer.williams21@company.co,0,0,,0,,,250
sandra.taylor5@proton.me,4,2,11,1,77,7,12
timothy.ramirez39@proton.me,7,29,33,1,21,0,3
christopher.miller11@outlook.com,5,27,65,4,41,2,1
matthew.gonzalez83@outlook.com,0,1,,0,,,174
brian.ramirez18@proton.me,4,22,44,2,17,0,2
donna.king64@outlook.com,1,2,7,0,87,9,90
dorothy.perez83@gmail.com,2,10,13,1,75,8,7
steven.martin13@gmail.com,3,5,6,0,71,7,42
ashley.thompson92@proton.me,0,3,3,0,88,9,93
michelle.king82@fastmail.com,1,5,15,0,79,6,19
melissa.scott15@gmail.com,3,4,11,1,72,7,45
mary.king78@company.co,1,4,2,0,96,10,77
melissa.garcia73@outlook.com,4,10,14,1,75,9,7
ashley.robinson27@outlook.com,1,1,16,0,89,7,0
carol.wilson1@proton.me,0,2,,0,,,289
richard.martinez32@proton.me,2,5,5,0,73,,15
carol.wilson56@company.co,3,3,12,0,73,6,32
carol.martinez5@outlook.com,3,4,11,1,82,8,45
paul.perez87@fastmail.com,0,0,,0,,,123
joshua.williams95@fastmail.com,0,7,8,0,61,6,20
karen.perez23@proton.me,0,2,7,0,94,9,33
donald.anderson78@gmail.com,3,9,16,1,80,7,28
sandra.martin51@company.co,2,1,15,0,83,7,37
karen.king91@proton.me,2,2,5,0,97,9,47
donald.young51@company.co,0,1,,0,,,280
george.hernandez7@proton.me,3,7,22,0,78,5,50
lisa.smith42@proton.me,8,34,39,3,39,0,10
carol.wilson62@fastmail.com,1,3,3,0,92,10,58
linda.young41@gmail.com,0,2,,0,,2,223
andrew.wright33@outlook.com,5,5,10,0,67,,7
melissa.gonzalez66@company.co,11,30,36,3,42,1,14
michelle.walker13@company.co,2,2,15,0,74,6,19
george.gonzalez65@fastmail.com,2,5,6,0,89,10,61
andrew.king67@fastmail.com,15,34,43,3,19,3,7
barbara.rodriguez82@company.co,2,2,1,0,97,9,111
william.garcia94@proton.me,4,8,14,1,71,9,18
linda.white48@gmail.com,3,1,8,0,73,5,54
sarah.young89@fastmail.com,1,5,1,0,88,8,53
kimberly.wilson49@gmail.com,0,4,18,0,62,8,51
melissa.williams35@outlook.com,0,0,,0,,2,299
joshua.harris96@outlook.com,3,2,24,0,78,6,33
robert.moore19@company.co,6,36,35,2,27,1,10
karen.hill74@gmail.com,2,3,1,0,93,8,67
daniel.hernandez71@gmail.com,1,7,12,1,75,9,36
donald.clark74@fastmail.com,2,3,13,0,65,,19
daniel.hernandez29@outlook.com,14,34,17,2,44,0,14
melissa.perez27@company.co,0,0,,0,,,310
melissa.perez39@fastmail.com,15,20,37,2,25,2,3
barbara.garcia25@outlook.com,3,2,13,0,79,5,26
christopher.young4@company.co,4,2,7,0,86,,8
ashley.jackson8@proton.me,0,1,24,0,66,5,21
margaret.jackson54@company.co,0,2,,0,,,229
mark.martinez23@proton.me,4,1,6,0,88,6,11
linda.gonzalez67@company.co,9,16,17,2,30,3,7
emily.flores39@company.co,2,4,14,1,75,8,16
richard.jackson44@gmail.com,0,0,,0,,5,256
jennifer.jones42@fastmail.com,3,24,54,4,16,3,14
robert.smith58@outlook.com,7,40,30,5,26,3,10
william.king87@proton.me,2,7,19,0,74,7,36
charles.moore74@outlook.com,11,26,35,1,38,3,14
jennifer.king99@gmail.com,3,2,11,0,78,8,23
linda.hill90@outlook.com,2,6,22,0,67,5,51
anthony.robinson50@gmail.com,0,1,,0,,,339
george.lewis91@proton.me,4,4,12,1,71,7,17
christopher.hernandez17@gmail.com,6,17,25,1,25,3,4
steven.garcia29@fastmail.com,2,3,10,0,86,,2
elizabeth.sanchez7@gmail.com,0,2,,0,,5,340
carol.harris25@fastmail.com,1,3,16,1,70,7,10
james.clark81@gmail.com,2,1,6,0,98,9,51
matthew.wright89@outlook.com,0,0,,0,,,346
daniel.garcia7@gmail.com,1,3,3,0,99,9,80
richard.taylor1@fastmail.com,0,8,4,0,64,5,26
thomas.young91@proton.me,10,37,18,5,24,2,2
charles.flores47@company.co,3,3,10,0,71,8,7
robert.hernandez65@gmail.com,3,5,6,0,70,9,44
mary.allen82@proton.me,15,12,45,2,38,3,4
elizabeth.davis7@gmail.com,0,0,,0,,,249
john.thompson48@gmail.com,2,5,4,0,96,9,81
kimberly.clark85@company.co,0,5,5,0,95,9,66
joshua.sanchez80@outlook.com,0,6,6,0,83,6,43
joshua.clark28@proton.me,4,7,8,1,70,8,15
christopher.jones68@company.co,3,4,10,0,88,,19
paul.hernandez58@outlook.com,6,28,45,3,21,0,2
joshua.walker13@company.co,1,7,9,0,74,7,24
john.miller1@company.co,5,4,14,0,87,7,10
margaret.clark84@company.co,5,36,51,2,15,3,4
betty.young4@proton.me,0,1,,0,,3,259
ashley.lee3@proton.me,1,2,7,1,88,7,35
mark.hernandez41@outlook.com,3,8,14,0,76,6,14
steven.smith70@company.co,3,1,22,0,61,6,43
kimberly.white49@proton.me,4,9,4,1,71,7,38
joseph.lee3@company.co,3,7,22,0,75,7,32
betty.jackson31@outlook.com,1,3,8,0,71,6,55
joseph.brown41@company.co,4,9,9,0,86,8,45
brian.davis47@outlook.com,1,2,4,0,86,9,67
thomas.harris28@proton.me,3,2,6,0,75,6,34
margaret.brown22@outlook.com,3,36,38,1,31,3,5
karen.wilson64@outlook.com,1,8,10,0,74,6,20
andrew.lopez15@outlook.com,5,4,13,0,65,7,2
susan.moore65@company.co,1,6,18,0,81,7,55
karen.flores53@gmail.com,3,4,12,0,77,9,10
michelle.robinson98@company.co,0,2,,0,,,349
kenneth.robinson75@fastmail.com,4,5,8,0,68,8,13
amanda.anderson13@company.co,0,2,15,0,63,5,47
donald.ramirez98@company.co,2,7,5,0,86,7,36
kevin.garcia76@gmail.com,4,3,7,0,75,9,32
carol.lee16@gmail.com,1,10,5,0,79,8,41
kevin.king57@outlook.com,1,7,11,0,74,,20
mark.garcia91@gmail.com,1,2,7,0,98,9,82
john.jones50@gmail.com,6,28,33,4,20,2,14
christopher.white30@gmail.com,0,8,12,0,72,6,26
richard.miller49@company.co,1,5,2,0,87,9,61
christopher.lee65@gmail.com,4,6,7,0,84,7,27
elizabeth.wright85@proton.me,0,0,,0,,,159
mark.garcia92@proton.me,2,1,1,0,89,9,117
charles.hill10@company.co,3,6,10,0,77,7,38
steven.young10@outlook.com,1,8,9,0,70,9,38
betty.thompson78@company.co,0,2,1,0,87,8,118
andrew.smith84@fastmail.com,9,12,57,3,18,1,8
linda.martinez87@fastmail.com,4,5,10,0,85,7,29
kenneth.lee8@outlook.com,3,2,15,0,90,7,24
karen.walker58@fastmail.com,11,10,47,5,19,0,14
deborah.ramirez67@proton.me,0,1,,0,,,262
joshua.moore21@company.co,15,31,43,5,17,1,14
kimberly.taylor74@outlook.com,2,0,4,0,90,10,119
brian.johnson78@proton.me,5,3,7,0,69,6,8
elizabeth.white36@company.co,4,3,9,0,78,8,23
andrew.martin61@outlook.com,0,3,4,0,100,8,43
deborah.rodriguez69@gmail.com,0,5,4,0,90,8,107
karen.hernandez56@gmail.com,1,2,13,0,81,7,40
linda.gonzalez36@fastmail.com,2,4,15,0,76,8,40
barbara.scott24@outlook.com,7,29,70,2,42,2,10
anthony.davis93@company.co,13,10,66,1,42,0,13
jessica.jackson45@outlook.com,1,6,16,0,69,7,6
kenneth.brown43@proton.me,4,4,7,0,85,7,44
michelle.allen85@gmail.com,12,13,17,2,43,2,12
charles.thomas34@gmail.com,3,1,9,0,65,8,8
carol.martin10@outlook.com,1,6,16,0,81,,1
christopher.jackson90@gmail.com,0,2,,0,,,267
daniel.anderson12@gmail.com,5,6,7,0,81,,7
richard.garcia41@outlook.com,0,7,5,0,77,7,15
kenneth.martin94@fastmail.com,1,6,15,0,78,5,43
kevin.clark22@company.co,3,6,22,0,76,7,23
donna.walker98@gmail.com,2,0,1,0,95,9,97
nancy.scott91@gmail.com,0,1,,0,,5,60
christopher.allen19@proton.me,0,2,,0,,,242
andrew.thompson99@company.co,1,6,12,0,88,,10
amanda.white92@outlook.com,2,3,20,0,80,5,30
barbara.flores70@outlook.com,1,3,2,0,91,9,52
deborah.flores40@proton.me,2,5,16,0,79,,7
nancy.anderson18@outlook.com,3,4,6,0,72,7,18
carol.white25@proton.me,7,30,37,3,42,0,3
daniel.clark77@gmail.com,3,8,15,0,90,7,10
linda.perez67@company.co,2,6,11,0,78,8,14
donna.anderson27@proton.me,0,4,7,0,96,8,95
charles.clark2@proton.me,4,6,13,1,87,8,33
christopher.harris18@gmail.com,0,1,,0,,,348
